,Comuna,Ambientes,Period,Variance
394,5,3,2020 - 2do. trim.*,1.6859046531599304
395,6,3,2020 - 2do. trim.*,13.155688370328397
396,7,3,2020 - 2do. trim.*,8.113280171078447
397,8,3,2020 - 2do. trim.*,
398,9,3,2020 - 2do. trim.*,
399,10,3,2020 - 2do. trim.*,3.29176883009389
400,11,3,2020 - 2do. trim.*,2.4734593620352454
401,12,3,2020 - 2do. trim.*,4.627376168277408
402,13,3,2020 - 2do. trim.*,7.2780014891277265
403,14,3,2020 - 2do. trim.*,14.743759579267024
404,15,3,2020 - 2do. trim.*,9.776876537836996
405,1,1,2020 - 3er. trim.*,13.877575267498798
406,2,1,2020 - 3er. trim.*,3.1038447533612743
407,3,1,2020 - 3er. trim.*,14.647258966016578
408,4,1,2020 - 3er. trim.*,
409,5,1,2020 - 3er. trim.*,18.563090749758675
410,6,1,2020 - 3er. trim.*,19.747995488043998
411,7,1,2020 - 3er. trim.*,16.152164076229372
412,8,1,2020 - 3er. trim.*,
413,9,1,2020 - 3er. trim.*,
414,10,1,2020 - 3er. trim.*,
415,11,1,2020 - 3er. trim.*,25.96798593153394
416,12,1,2020 - 3er. trim.*,19.197936356411823
417,13,1,2020 - 3er. trim.*,15.612747035258412
418,14,1,2020 - 3er. trim.*,9.118591994555514
419,15,1,2020 - 3er. trim.*,16.774390452141006
420,1,2,2020 - 3er. trim.*,14.665267050217098
421,2,2,2020 - 3er. trim.*,11.117263027195273
422,3,2,2020 - 3er. trim.*,21.75434773715277
423,4,2,2020 - 3er. trim.*,19.20244541744072
424,5,2,2020 - 3er. trim.*,17.242903104858772
425,6,2,2020 - 3er. trim.*,25.340075421486187
426,7,2,2020 - 3er. trim.*,24.63267777513873
427,8,2,2020 - 3er. trim.*,
428,9,2,2020 - 3er. trim.*,
429,10,2,2020 - 3er. trim.*,20.189962430541268
430,11,2,2020 - 3er. trim.*,19.572291777275748
431,12,2,2020 - 3er. trim.*,26.02657051435112
432,13,2,2020 - 3er. trim.*,19.342777038935132
433,14,2,2020 - 3er. trim.*,9.525243877492294
434,15,2,2020 - 3er. trim.*,16.75993834578881
435,1,3,2020 - 3er. trim.*,13.593992137814817
436,2,3,2020 - 3er. trim.*,8.149007131896404
437,3,3,2020 - 3er. trim.*,16.03212969988872
438,4,3,2020 - 3er. trim.*,
439,5,3,2020 - 3er. trim.*,35.50893948958939
440,6,3,2020 - 3er. trim.*,18.42327193644412
441,7,3,2020 - 3er. trim.*,26.063729985784672
442,8,3,2020 - 3er. trim.*,
443,9,3,2020 - 3er. trim.*,
444,10,3,2020 - 3er. trim.*,
445,11,3,2020 - 3er. trim.*,22.450606557260105
446,12,3,2020 - 3er. trim.*,32.04751880418053
447,13,3,2020 - 3er. trim.*,16.966860885971975
448,14,3,2020 - 3er. trim.*,16.609633185950358
449,15,3,2020 - 3er. trim.*,22.96852586874931
450,1,1,2020 - 4to. trim.*,11.443779629619865
451,2,1,2020 - 4to. trim.*,8.605102043130366
452,3,1,2020 - 4to. trim.*,6.3906576181481975
453,4,1,2020 - 4to. trim.*,
454,5,1,2020 - 4to. trim.*,12.204499348827897
455,6,1,2020 - 4to. trim.*,16.23385771307817
456,7,1,2020 - 4to. trim.*,18.624525230602256
457,8,1,2020 - 4to. trim.*,
458,9,1,2020 - 4to. trim.*,
459,10,1,2020 - 4to. trim.*,8.606096815032934
460,11,1,2020 - 4to. trim.*,17.39733900494538
461,12,1,2020 - 4to. trim.*,13.32450249619731
462,13,1,2020 - 4to. trim.*,10.779050379491368
463,14,1,2020 - 4to. trim.*,10.157210732629778
464,15,1,2020 - 4to. trim.*,10.750821368338107
465,1,2,2020 - 4to. trim.*,7.761833051596547
466,2,2,2020 - 4to. trim.*,8.646658013840343
467,3,2,2020 - 4to. trim.*,8.113781025025714
468,4,2,2020 - 4to. trim.*,16.514440724561467
469,5,2,2020 - 4to. trim.*,7.863502496080511
470,6,2,2020 - 4to. trim.*,9.36204550641266
471,7,2,2020 - 4to. trim.*,17.29413222899915
472,8,2,2020 - 4to. trim.*,
473,9,2,2020 - 4to. trim.*,
474,10,2,2020 - 4to. trim.*,19.792040384359233
475,11,2,2020 - 4to. trim.*,6.745889972764735
476,12,2,2020 - 4to. trim.*,10.182602961583157
477,13,2,2020 - 4to. trim.*,12.44062155811029
478,14,2,2020 - 4to. trim.*,10.63688247398843
479,15,2,2020 - 4to. trim.*,10.680248195823811
480,1,3,2020 - 4to. trim.*,7.939694626367276
481,2,3,2020 - 4to. trim.*,17.854574365853072
482,3,3,2020 - 4to. trim.*,18.99615804099637
483,4,3,2020 - 4to. trim.*,
484,5,3,2020 - 4to. trim.*,15.205881212874864
485,6,3,2020 - 4to. trim.*,22.518209406775842
486,7,3,2020 - 4to. trim.*,9.647290384276143
487,8,3,2020 - 4to. trim.*,
488,9,3,2020 - 4to. trim.*,
489,10,3,2020 - 4to. trim.*,
490,11,3,2020 - 4to. trim.*,23.695149385154075
491,12,3,2020 - 4to. trim.*,13.216251284397485
492,13,3,2020 - 4to. trim.*,18.502731929305195
493,14,3,2020 - 4to. trim.*,12.033306102189522
494,15,3,2020 - 4to. trim.*,13.728958148684589
495,1,1,2021 - 1er. trim.*,9.860450082559147
496,2,1,2021 - 1er. trim.*,13.18955979510728
497,3,1,2021 - 1er. trim.*,10.054432496531076
498,4,1,2021 - 1er. trim.*,
499,5,1,2021 - 1er. trim.*,13.43445660135359
500,6,1,2021 - 1er. trim.*,11.025166962230697
501,7,1,2021 - 1er. trim.*,8.856159785162822
502,8,1,2021 - 1er. trim.*,
503,9,1,2021 - 1er. trim.*,
504,10,1,2021 - 1er. trim.*,19.191139246979183
505,11,1,2021 - 1er. trim.*,5.836393812960427
506,12,1,2021 - 1er. trim.*,12.836415513460517
507,13,1,2021 - 1er. trim.*,9.51217395368089
508,14,1,2021 - 1er. trim.*,8.705070963238592
509,15,1,2021 - 1er. trim.*,9.03970520300264
510,1,2,2021 - 1er. trim.*,7.276574810876153
511,2,2,2021 - 1er. trim.*,13.578180901443442
512,3,2,2021 - 1er. trim.*,9.012675351909744
513,4,2,2021 - 1er. trim.*,5.560628483264599
514,5,2,2021 - 1er. trim.*,8.412815862786163
515,6,2,2021 - 1er. trim.*,10.37494282939709
516,7,2,2021 - 1er. trim.*,9.998373334168216
517,8,2,2021 - 1er. trim.*,
518,9,2,2021 - 1er. trim.*,
519,10,2,2021 - 1er. trim.*,10.273248048713866
520,11,2,2021 - 1er. trim.*,18.144903425700885
521,12,2,2021 - 1er. trim.*,14.818175447255483
522,13,2,2021 - 1er. trim.*,11.976315135193193
523,14,2,2021 - 1er. trim.*,11.108479584244867
524,15,2,2021 - 1er. trim.*,13.503852658393342
525,1,3,2021 - 1er. trim.*,-0.7743407369456256
526,2,3,2021 - 1er. trim.*,12.216122728932493
527,3,3,2021 - 1er. trim.*,9.330246311733175
528,4,3,2021 - 1er. trim.*,
529,5,3,2021 - 1er. trim.*,10.920934103056345
530,6,3,2021 - 1er. trim.*,6.902895379034963
531,7,3,2021 - 1er. trim.*,18.12972972972974
532,8,3,2021 - 1er. trim.*,
533,9,3,2021 - 1er. trim.*,
534,10,3,2021 - 1er. trim.*,
535,11,3,2021 - 1er. trim.*,11.732824741702212
536,12,3,2021 - 1er. trim.*,8.479794694083894
537,13,3,2021 - 1er. trim.*,15.058445074219435
538,14,3,2021 - 1er. trim.*,8.742948940411274
539,15,3,2021 - 1er. trim.*,11.77616650184008
540,1,1,2021 - 2do. trim.*,10.967282409743765
541,2,1,2021 - 2do. trim.*,12.380772434627344
